dataset_id,arxiv_id,status,file_size_kb,file_path
Salesforce/xlam-function-calling-60k,2406.18518,already_exists,2043.1875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\Salesforce_xlam-function-calling-60k_2406.18518.pdf
futurehouse/lab-bench,2407.10362,already_exists,9659.0595703125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\futurehouse_lab-bench_2407.10362.pdf
nvidia/OpenMathReasoning,2504.16891,already_exists,956.650390625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nvidia_OpenMathReasoning_2504.16891.pdf
COREVQA2025/COREVQA,2507.13405,already_exists,1027.498046875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\COREVQA2025_COREVQA_2507.13405.pdf
UCSD26/medical_dialog,2004.03329,already_exists,311.9326171875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\UCSD26_medical_dialog_2004.03329.pdf
qiaojin/PubMedQA,1909.06146,already_exists,1029.828125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\qiaojin_PubMedQA_1909.06146.pdf
allenai/sciq,1707.06209,already_exists,454.7138671875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_sciq_1707.06209.pdf
google/xquad,1910.11856,already_exists,600.181640625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\google_xquad_1910.11856.pdf
nguha/legalbench,2308.11462,already_exists,1176.5419921875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nguha_legalbench_2308.11462.pdf
nguha/legalbench,2110.01799,already_exists,1079.4326171875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nguha_legalbench_2110.01799.pdf
nguha/legalbench,2103.06268,already_exists,2732.533203125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nguha_legalbench_2103.06268.pdf
nguha/legalbench,2301.00876,already_exists,352.693359375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nguha_legalbench_2301.00876.pdf
nguha/legalbench,1911.00841,already_exists,925.6845703125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nguha_legalbench_1911.00841.pdf
nguha/legalbench,2105.07903,already_exists,499.646484375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nguha_legalbench_2105.07903.pdf
MMMU/MMMU,2311.16502,already_exists,16479.4404296875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\MMMU_MMMU_2311.16502.pdf
m-a-p/COIG-CQIA,2403.18058,already_exists,1115.634765625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\m-a-p_COIG-CQIA_2403.18058.pdf
m-a-p/COIG-CQIA,2304.07987,already_exists,756.6962890625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\m-a-p_COIG-CQIA_2304.07987.pdf
m-a-p/COIG-CQIA,2307.09705,already_exists,1673.8515625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\m-a-p_COIG-CQIA_2307.09705.pdf
We-Math/We-Math,2407.01284,already_exists,12082.404296875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\We-Math_We-Math_2407.01284.pdf
nvidia/OpenMathInstruct-2,2410.01560,already_exists,1094.58203125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nvidia_OpenMathInstruct-2_2410.01560.pdf
AmazonScience/document-haystack,2507.15882,already_exists,1758.134765625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\AmazonScience_document-haystack_2507.15882.pdf
TIGER-Lab/AceCode-V2-122K,2502.01718,success,953.0380859375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\TIGER-Lab_AceCode-V2-122K_2502.01718.pdf
ai-hyz/MemoryAgentBench,2507.05257,already_exists,1634.216796875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\ai-hyz_MemoryAgentBench_2507.05257.pdf
sewon/ambig_qa,2004.10645,already_exists,1506.896484375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\sewon_ambig_qa_2004.10645.pdf
facebook/babi_qa,1502.05698,already_exists,203.79296875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\facebook_babi_qa_1502.05698.pdf
facebook/babi_qa,1511.06931,already_exists,200.4638671875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\facebook_babi_qa_1511.06931.pdf
tau/commonsense_qa,1811.00937,already_exists,1309.322265625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\tau_commonsense_qa_1811.00937.pdf
stanfordnlp/coqa,1808.07042,already_exists,1249.3427734375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\stanfordnlp_coqa_1808.07042.pdf
stanfordnlp/coqa,1704.04683,already_exists,265.5341796875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\stanfordnlp_coqa_1704.04683.pdf
stanfordnlp/coqa,1506.03340,already_exists,6186.5751953125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\stanfordnlp_coqa_1506.03340.pdf
ucinlp/drop,1903.00161,already_exists,1942.4453125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\ucinlp_drop_1903.00161.pdf
allenai/qasper,2105.03011,already_exists,494.7353515625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_qasper_2105.03011.pdf
rajpurkar/squad,1606.05250,already_exists,446.1396484375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\rajpurkar_squad_1606.05250.pdf
rajpurkar/squad_v2,1806.03822,already_exists,894.6337890625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\rajpurkar_squad_v2_1806.03822.pdf
rajpurkar/squad_v2,1606.05250,already_exists,446.1396484375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\rajpurkar_squad_v2_1606.05250.pdf
lucasmccabe/logiqa,2007.08124,already_exists,597.533203125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\lucasmccabe_logiqa_2007.08124.pdf
derek-thomas/ScienceQA,2209.09513,already_exists,7876.0947265625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\derek-thomas_ScienceQA_2209.09513.pdf
stanfordnlp/SHP,2112.00861,already_exists,2459.103515625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\stanfordnlp_SHP_2112.00861.pdf
stanfordnlp/SHP,2001.08435,already_exists,532.572265625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\stanfordnlp_SHP_2001.08435.pdf
cardiffnlp/super_tweeteval,2310.14757,already_exists,1514.3515625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\cardiffnlp_super_tweeteval_2310.14757.pdf
cardiffnlp/super_tweeteval,2210.01108,already_exists,904.0537109375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\cardiffnlp_super_tweeteval_2210.01108.pdf
