dataset_id,arxiv_id,abstract_url,pdf_url
We-Math/We-Math,2407.01284,https://arxiv.org/abs/2407.01284,https://arxiv.org/pdf/2407.01284.pdf
nvidia/OpenMathInstruct-2,2410.01560,https://arxiv.org/abs/2410.01560,https://arxiv.org/pdf/2410.01560.pdf
AmazonScience/document-haystack,2507.15882,https://arxiv.org/abs/2507.15882,https://arxiv.org/pdf/2507.15882.pdf
TIGER-Lab/AceCode-V2-122K,2502.01718,https://arxiv.org/abs/2502.01718,https://arxiv.org/pdf/2502.01718.pdf
ai-hyz/MemoryAgentBench,2507.05257,https://arxiv.org/abs/2507.05257,https://arxiv.org/pdf/2507.05257.pdf
sewon/ambig_qa,2004.10645,https://arxiv.org/abs/2004.10645,https://arxiv.org/pdf/2004.10645.pdf
facebook/babi_qa,1502.05698,https://arxiv.org/abs/1502.05698,https://arxiv.org/pdf/1502.05698.pdf
facebook/babi_qa,1511.06931,https://arxiv.org/abs/1511.06931,https://arxiv.org/pdf/1511.06931.pdf
tau/commonsense_qa,1811.00937,https://arxiv.org/abs/1811.00937,https://arxiv.org/pdf/1811.00937.pdf
stanfordnlp/coqa,1808.07042,https://arxiv.org/abs/1808.07042,https://arxiv.org/pdf/1808.07042.pdf
stanfordnlp/coqa,1704.04683,https://arxiv.org/abs/1704.04683,https://arxiv.org/pdf/1704.04683.pdf
stanfordnlp/coqa,1506.03340,https://arxiv.org/abs/1506.03340,https://arxiv.org/pdf/1506.03340.pdf
ucinlp/drop,1903.00161,https://arxiv.org/abs/1903.00161,https://arxiv.org/pdf/1903.00161.pdf
allenai/qasper,2105.03011,https://arxiv.org/abs/2105.03011,https://arxiv.org/pdf/2105.03011.pdf
rajpurkar/squad,1606.05250,https://arxiv.org/abs/1606.05250,https://arxiv.org/pdf/1606.05250.pdf
rajpurkar/squad_v2,1806.03822,https://arxiv.org/abs/1806.03822,https://arxiv.org/pdf/1806.03822.pdf
rajpurkar/squad_v2,1606.05250,https://arxiv.org/abs/1606.05250,https://arxiv.org/pdf/1606.05250.pdf
lucasmccabe/logiqa,2007.08124,https://arxiv.org/abs/2007.08124,https://arxiv.org/pdf/2007.08124.pdf
derek-thomas/ScienceQA,2209.09513,https://arxiv.org/abs/2209.09513,https://arxiv.org/pdf/2209.09513.pdf
stanfordnlp/SHP,2112.00861,https://arxiv.org/abs/2112.00861,https://arxiv.org/pdf/2112.00861.pdf
stanfordnlp/SHP,2001.08435,https://arxiv.org/abs/2001.08435,https://arxiv.org/pdf/2001.08435.pdf
cardiffnlp/super_tweeteval,2310.14757,https://arxiv.org/abs/2310.14757,https://arxiv.org/pdf/2310.14757.pdf
cardiffnlp/super_tweeteval,2210.01108,https://arxiv.org/abs/2210.01108,https://arxiv.org/pdf/2210.01108.pdf
cardiffnlp/super_tweeteval,2210.08129,https://arxiv.org/abs/2210.08129,https://arxiv.org/pdf/2210.08129.pdf
stanfordnlp/SHP-2,2112.00861,https://arxiv.org/abs/2112.00861,https://arxiv.org/pdf/2112.00861.pdf
zai-org/LongBench,2308.14508,https://arxiv.org/abs/2308.14508,https://arxiv.org/pdf/2308.14508.pdf
zai-org/LongBench,2108.00573,https://arxiv.org/abs/2108.00573,https://arxiv.org/pdf/2108.00573.pdf
zai-org/LongBench,1712.07040,https://arxiv.org/abs/1712.07040,https://arxiv.org/pdf/1712.07040.pdf
zai-org/LongBench,2105.03011,https://arxiv.org/abs/2105.03011,https://arxiv.org/pdf/2105.03011.pdf
zai-org/LongBench,2104.02112,https://arxiv.org/abs/2104.02112,https://arxiv.org/pdf/2104.02112.pdf
zai-org/LongBench,2104.05938,https://arxiv.org/abs/2104.05938,https://arxiv.org/pdf/2104.05938.pdf
zai-org/LongBench,2305.05280,https://arxiv.org/abs/2305.05280,https://arxiv.org/pdf/2305.05280.pdf
zai-org/LongBench,2303.09752,https://arxiv.org/abs/2303.09752,https://arxiv.org/pdf/2303.09752.pdf
zai-org/LongBench,1910.10683,https://arxiv.org/abs/1910.10683,https://arxiv.org/pdf/1910.10683.pdf
zai-org/LongBench,2306.14893,https://arxiv.org/abs/2306.14893,https://arxiv.org/pdf/2306.14893.pdf
zai-org/LongBench,2306.03091,https://arxiv.org/abs/2306.03091,https://arxiv.org/pdf/2306.03091.pdf
starmpcc/Asclepius-Synthetic-Clinical-Notes,2309.00237,https://arxiv.org/abs/2309.00237,https://arxiv.org/pdf/2309.00237.pdf
maveriq/bigbenchhard,2210.09261,https://arxiv.org/abs/2210.09261,https://arxiv.org/pdf/2210.09261.pdf
OpenGVLab/VideoChat2-IT,2311.17005,https://arxiv.org/abs/2311.17005,https://arxiv.org/pdf/2311.17005.pdf
OpenGVLab/VideoChat2-IT,2305.06355,https://arxiv.org/abs/2305.06355,https://arxiv.org/pdf/2305.06355.pdf
allenai/reward-bench,2403.13787,https://arxiv.org/abs/2403.13787,https://arxiv.org/pdf/2403.13787.pdf
allenai/reward-bench,2310.07641,https://arxiv.org/abs/2310.07641,https://arxiv.org/pdf/2310.07641.pdf
allenai/reward-bench,2308.01263,https://arxiv.org/abs/2308.01263,https://arxiv.org/pdf/2308.01263.pdf
allenai/reward-bench,2308.07124,https://arxiv.org/abs/2308.07124,https://arxiv.org/pdf/2308.07124.pdf
ikala/tmmluplus,2403.01858,https://arxiv.org/abs/2403.01858,https://arxiv.org/pdf/2403.01858.pdf
Itau-Unibanco/FAQ_BACEN,2311.11331,https://arxiv.org/abs/2311.11331,https://arxiv.org/pdf/2311.11331.pdf
math-ai/AutoMathText,2402.07625,https://arxiv.org/abs/2402.07625,https://arxiv.org/pdf/2402.07625.pdf
zai-org/LongAlign-10k,2401.18058,https://arxiv.org/abs/2401.18058,https://arxiv.org/pdf/2401.18058.pdf
tinyBenchmarks/tinyMMLU,2402.14992,https://arxiv.org/abs/2402.14992,https://arxiv.org/pdf/2402.14992.pdf
m-a-p/Code-Feedback,2402.14658,https://arxiv.org/abs/2402.14658,https://arxiv.org/pdf/2402.14658.pdf
chenxz/RareBench,2402.06341,https://arxiv.org/abs/2402.06341,https://arxiv.org/pdf/2402.06341.pdf
FreedomIntelligence/ALLaVA-4V-Chinese,2402.11684,https://arxiv.org/abs/2402.11684,https://arxiv.org/pdf/2402.11684.pdf
AI4Chem/ChemPref-DPO-for-Chemistry-data-en,2402.06852,https://arxiv.org/abs/2402.06852,https://arxiv.org/pdf/2402.06852.pdf
nthakur/swim-ir-monolingual,2311.05800,https://arxiv.org/abs/2311.05800,https://arxiv.org/pdf/2311.05800.pdf
snap-stanford/stark,2404.13207,https://arxiv.org/abs/2404.13207,https://arxiv.org/pdf/2404.13207.pdf
UCSC-VLAA/MedTrinity-25M,2408.02900,https://arxiv.org/abs/2408.02900,https://arxiv.org/pdf/2408.02900.pdf
AI4Sec/cti-bench,2406.07599,https://arxiv.org/abs/2406.07599,https://arxiv.org/pdf/2406.07599.pdf
zwq2018/Multi-modal-Self-instruct,2407.07053,https://arxiv.org/abs/2407.07053,https://arxiv.org/pdf/2407.07053.pdf
Hothan/OlympiadBench,2402.14008,https://arxiv.org/abs/2402.14008,https://arxiv.org/pdf/2402.14008.pdf
AssistantBench/AssistantBench,2407.15711,https://arxiv.org/abs/2407.15711,https://arxiv.org/pdf/2407.15711.pdf
Sadanto3933/ai2_arc,1803.05457,https://arxiv.org/abs/1803.05457,https://arxiv.org/pdf/1803.05457.pdf
weaverbirdllm/famma,2410.04526,https://arxiv.org/abs/2410.04526,https://arxiv.org/pdf/2410.04526.pdf
yuecao0119/MMInstruct-GPT4V,2407.15838,https://arxiv.org/abs/2407.15838,https://arxiv.org/pdf/2407.15838.pdf
yuecao0119/MMInstruct-GPT4V,2212.02746,https://arxiv.org/abs/2212.02746,https://arxiv.org/pdf/2212.02746.pdf
yuecao0119/MMInstruct-GPT4V,2105.04165,https://arxiv.org/abs/2105.04165,https://arxiv.org/pdf/2105.04165.pdf
yuecao0119/MMInstruct-GPT4V,2208.05358,https://arxiv.org/abs/2208.05358,https://arxiv.org/pdf/2208.05358.pdf
yuecao0119/MMInstruct-GPT4V,2209.14610,https://arxiv.org/abs/2209.14610,https://arxiv.org/pdf/2209.14610.pdf
